ID	logFC	logCPM	F	PValue	FDR
uc009gcq.1|Zfp74	-0.963938143010092	2.37556461590344	7.78137595677244	0.010535924385635	0.0161661373507701
uc007twh.2|Haus4	0.574419347248443	2.85116323772722	7.77074077441957	0.0105818849811797	0.0162345116272151
uc007gkc.1|Eid3	1.09978313617987	0.166699447078117	7.76997955028342	0.0105851831504081	0.0162374246554978
uc008hls.1|Tm9sf3	-0.228750356497107	8.81778065632925	7.76615449275372	0.0106017732608889	0.0162607237470051
uc009plp.2|Fdx1	-0.44925723338972	6.44385400516599	7.77629461794487	0.0106477063459824	0.0163290162215746
uc007fzd.2|Shc2	1.30206018463335	0.775334276787323	7.7525319653745	0.010661091104862	0.01634738206551
uc009vev.1|AK140265	0.848392665094772	6.17737978574882	8.05459074912176	0.0106744253735365	0.0163656656460285
uc009gup.2|Trpm4	-0.551679780421772	4.1063460139682	7.74594575243523	0.0106899016116823	0.0163872279561831
uc007awd.2|Bivm	-0.556173075876334	4.17538661154345	7.74227698902646	0.0107059874578309	0.0164097189528681
uc009mxt.1|Katnb1	-0.340341035996649	4.34922703168563	7.73924265845367	0.0107193118333967	0.0164279718931319
uc008dzs.2|Mpp7	-0.367205360887382	6.01772269427826	7.73310143426407	0.0107463353807742	0.0164672120210147
uc007wzz.1|Poldip3	0.196000120233839	6.34208662745195	7.72891612281102	0.010764795392216	0.0164933211324286
