ID	logFC	FDR	Direction
uc008rcv.2|Frrs1	0.5	0.25	down
uc008vdt.1|Dhdds	0.5	0.25	up
uc008vdt.1|Dhdds	0.5	0.05	up
uc009bvw.1|Tmem176a	1	0.05	up
uc009bvw.1|Tmem176a	1	0.25	up
uc009bvw.1|Tmem176a	0.5	0.05	up
uc009bvw.1|Tmem176a	0.5	0.25	up
uc009pdn.1|Rps25	1	0.25	down
uc009pdn.1|Rps25	1	0.05	down
uc009pdn.1|Rps25	0.5	0.05	down
uc009pdn.1|Rps25	0.5	0.25	down
uc011xmz.1|Mettl25	0.5	0.25	up
uc011xmz.1|Mettl25	0.5	0.05	up
uc007zcb.1|Kpna1	0.5	0.05	down
uc007zcb.1|Kpna1	0.5	0.25	down
uc007zcb.1|Kpna1	1	0.05	down
uc007zcb.1|Kpna1	1	0.25	down
uc012ecr.1|Rita1	0.5	0.25	down
uc012ecr.1|Rita1	0.5	0.05	down
uc012ecr.1|Rita1	1	0.25	down
uc012ecr.1|Rita1	1	0.05	down
uc007nmm.2|G2e3	0.5	0.05	up
uc007nmm.2|G2e3	0.5	0.25	up
uc008mck.1|Dut	0.5	0.25	up
uc008mck.1|Dut	0.5	0.05	up
uc008mck.1|Dut	1	0.05	up
uc008mck.1|Dut	1	0.25	up
uc008eaz.1|Snrpd1	1	0.25	up
uc008eaz.1|Snrpd1	1	0.05	up
uc008eaz.1|Snrpd1	0.5	0.25	up
uc008eaz.1|Snrpd1	0.5	0.05	up
uc007ebk.2|Angel2	0.5	0.25	down
uc007ebk.2|Angel2	0.5	0.05	down
uc009tds.1|Rap2c	0.5	0.05	down
uc009tds.1|Rap2c	0.5	0.25	down
uc009tds.1|Rap2c	1	0.05	down
uc009tds.1|Rap2c	1	0.25	down
uc008xez.1|Bloc1s4	0.5	0.25	down
uc008xez.1|Bloc1s4	0.5	0.05	down
uc011zty.1|Ptp4a3	0.5	0.25	down
uc011zty.1|Ptp4a3	0.5	0.05	down
uc008xad.2|Depdc5	0.5	0.05	down
uc008xad.2|Depdc5	0.5	0.25	down
uc007rip.2|Tmem161b	0.5	0.05	down
uc007rip.2|Tmem161b	0.5	0.25	down
uc008mln.2|Smox	0.5	0.25	up
uc008mln.2|Smox	0.5	0.05	up
uc007aha.1|Snhg6	0.5	0.25	down
uc007bzo.2|Rab17	0.5	0.25	up
uc007dyz.1|Iars2	0.5	0.05	down
uc007dyz.1|Iars2	0.5	0.25	down
uc007dyz.1|Iars2	1	0.25	down
uc007dyz.1|Iars2	1	0.05	down
uc008kas.1|Metap1d	1	0.25	down
uc008kas.1|Metap1d	1	0.05	down
uc008kas.1|Metap1d	0.5	0.25	down
uc008kas.1|Metap1d	0.5	0.05	down
uc007lkz.2|Jup	0.5	0.25	up
uc007lkz.2|Jup	0.5	0.05	up
uc007lkz.2|Jup	1	0.25	up
uc007lkz.2|Jup	1	0.05	up
uc007gim.2|Aes	0.5	0.25	down
uc007gim.2|Aes	0.5	0.05	down
uc007gim.2|Aes	1	0.25	down
uc007gim.2|Aes	1	0.05	down
uc009qcj.2|Dennd4a	1	0.25	down
uc009qcj.2|Dennd4a	1	0.05	down
uc009qcj.2|Dennd4a	0.5	0.25	down
uc009qcj.2|Dennd4a	0.5	0.05	down
uc008vfy.1|Rsrp1	0.5	0.05	up
uc008vfy.1|Rsrp1	0.5	0.25	up
uc008ehj.2|AW554918	0.5	0.25	up
uc008ehj.2|AW554918	0.5	0.05	up
uc008kff.1|Prkra	0.5	0.05	up
uc008kff.1|Prkra	0.5	0.25	up
uc007oug.2|Golga5	0.5	0.25	down
uc007oug.2|Golga5	0.5	0.05	down
uc007oug.2|Golga5	1	0.05	down
uc007oug.2|Golga5	1	0.25	down
uc008khn.2|Nckap1	1	0.25	down
uc008khn.2|Nckap1	1	0.05	down
uc008khn.2|Nckap1	0.5	0.05	down
uc008khn.2|Nckap1	0.5	0.25	down
uc007bqq.1|Kcne4	1	0.05	up
uc007bqq.1|Kcne4	1	0.25	up
uc007bqq.1|Kcne4	0.5	0.05	up
uc007bqq.1|Kcne4	0.5	0.25	up
uc008xev.1|Tbc1d14	0.5	0.05	up
uc008xev.1|Tbc1d14	0.5	0.25	up
uc008xev.1|Tbc1d14	1	0.05	up
uc008xev.1|Tbc1d14	1	0.25	up
uc009sqx.2|Atp6ap2	0.5	0.25	up
uc009sqx.2|Atp6ap2	0.5	0.05	up
uc009sqx.2|Atp6ap2	1	0.25	up
uc009sqx.2|Atp6ap2	1	0.05	up
uc008liw.2|Cat	1	0.05	down
uc008liw.2|Cat	1	0.25	down
uc008liw.2|Cat	0.5	0.05	down
